dt_time,op1,op2,temp,humidity
2024-02-28 00:00:00,261.0,231.0,22.8,63.1
2024-02-28 00:01:00,261.0,231.0,22.8,63.1
2024-02-28 00:02:00,262.0,231.0,22.8,63.3
2024-02-28 00:03:00,261.0,231.0,22.8,63.4
2024-02-28 00:04:00,260.0,231.0,22.7,63.5
2024-02-28 00:05:00,,,,
2024-02-28 00:06:00,261.0,231.0,22.7,63.5
2024-02-28 00:07:00,262.0,231.0,22.8,63.7
2024-02-28 00:08:00,261.0,231.0,22.8,63.7
2024-02-28 00:09:00,262.0,231.0,22.8,63.7
2024-02-28 00:10:00,262.0,231.0,22.7,64.0
2024-02-28 00:11:00,261.0,231.0,22.7,64.0
2024-02-28 00:12:00,261.0,231.0,22.7,64.2
2024-02-28 00:13:00,262.0,231.0,22.7,64.2
2024-02-28 00:14:00,261.0,231.0,22.6,64.2
2024-02-28 00:15:00,261.0,231.0,22.7,64.4
2024-02-28 00:16:00,261.0,231.0,22.7,64.4
2024-02-28 00:17:00,260.0,231.0,22.7,64.4
2024-02-28 00:18:00,261.0,231.0,22.6,64.6
2024-02-28 00:19:00,260.0,231.0,22.6,64.6
2024-02-28 00:20:00,261.0,231.0,22.6,64.8
2024-02-28 00:21:00,262.0,231.0,22.6,64.9
2024-02-28 00:22:00,261.0,231.0,22.6,64.9
2024-02-28 00:23:00,260.0,231.0,22.6,64.9
2024-02-28 00:24:00,260.0,231.0,22.6,64.9
2024-02-28 00:25:00,261.0,231.0,22.6,64.9
2024-02-28 00:26:00,261.0,231.0,22.6,64.9
2024-02-28 00:27:00,260.0,231.0,22.5,65.5
2024-02-28 00:28:00,261.0,231.0,22.5,65.5
2024-02-28 00:29:00,261.0,231.0,22.5,65.7
2024-02-28 00:30:00,259.0,231.0,22.5,65.7
2024-02-28 00:31:00,260.0,231.0,22.5,65.7
2024-02-28 00:32:00,260.0,231.0,22.5,65.7
2024-02-28 00:33:00,261.0,231.0,22.5,65.9
2024-02-28 00:34:00,260.0,231.0,22.5,65.9
2024-02-28 00:35:00,262.0,231.0,22.4,66.2
2024-02-28 00:36:00,260.0,231.0,22.4,66.2
2024-02-28 00:37:00,261.0,231.0,22.4,66.4
